,df,model,fold,iteration,accuracy,precision,recall,true_negative_rate,f2_score,f3_score
0,ace,SVM,1,1,98.3974358974359,33.33333333333333,11.11111111111111,99.67479674796748,12.82051282051282,11.904761904761903
1,ace,DT,1,1,95.59294871794873,8.88888888888889,22.22222222222222,96.66666666666667,17.094017094017094,19.32367149758454
2,ace,RF,1,1,98.5576923076923,0.0,0.0,100.0,0.0,0.0
3,ace,LR,1,1,98.3974358974359,42.857142857142854,33.33333333333333,99.34959349593497,34.883720930232556,34.09090909090909
4,ace,SVM,1,2,98.07692307692307,14.285714285714285,5.263157894736842,99.51179820992677,6.024096385542168,5.617977528089887
5,ace,DT,1,2,96.07371794871796,5.88235294117647,10.526315789473683,97.39625711960944,9.090909090909092,9.75609756097561
6,ace,RF,1,2,98.5576923076923,100.0,5.263157894736842,100.0,6.493506493506494,5.813953488372093
7,ace,LR,1,2,98.3173076923077,42.857142857142854,31.57894736842105,99.34906427990235,33.333333333333336,32.432432432432435
8,ace,SVM,2,1,98.71794871794873,75.0,16.666666666666664,99.91869918699187,19.736842105263158,18.072289156626507
9,ace,DT,2,1,96.63461538461539,7.142857142857142,11.11111111111111,97.88617886178862,9.999999999999998,10.526315789473681
10,ace,RF,2,1,98.63782051282051,100.0,5.555555555555555,100.0,6.849315068493151,6.134969325153375
11,ace,LR,2,1,98.4775641025641,46.666666666666664,38.88888888888889,99.34959349593497,40.229885057471265,39.548022598870055
12,ace,SVM,2,2,98.63782051282051,75.0,15.789473684210526,99.91863303498779,18.749999999999996,17.14285714285714
13,ace,DT,2,2,96.39423076923077,11.76470588235294,21.052631578947366,97.55899104963385,18.181818181818183,19.51219512195122
14,ace,RF,2,2,98.3974358974359,0.0,0.0,99.91863303498779,0.0,0.0
15,ace,LR,2,2,98.15705128205127,33.33333333333333,21.052631578947366,99.34906427990235,22.727272727272723,21.857923497267755
16,ace,SVM,3,1,98.4775641025641,42.857142857142854,16.666666666666664,99.67479674796748,18.987341772151897,17.75147928994083
17,ace,DT,3,1,96.55448717948718,12.121212121212121,22.22222222222222,97.64227642276423,19.047619047619047,20.51282051282051
18,ace,RF,3,1,98.63782051282051,100.0,5.555555555555555,100.0,6.849315068493151,6.134969325153375
19,ace,LR,3,1,98.3974358974359,42.857142857142854,33.33333333333333,99.34959349593497,34.883720930232556,34.09090909090909
20,ace,SVM,3,2,98.63782051282051,75.0,15.789473684210526,99.91863303498779,18.749999999999996,17.14285714285714
21,ace,DT,3,2,96.15384615384616,17.77777777777778,42.10526315789473,96.9894222945484,33.05785123966942,37.03703703703704
22,ace,RF,3,2,98.4775641025641,0.0,0.0,100.0,0.0,0.0
23,ace,LR,3,2,98.63782051282051,62.5,26.31578947368421,99.75589910496339,29.761904761904763,27.932960893854748
24,ace,SVM,4,1,98.23717948717949,20.0,5.263157894736842,99.67453213995118,6.172839506172839,5.681818181818182
25,ace,DT,4,1,95.59294871794873,9.090909090909092,21.052631578947366,96.7453213995118,16.666666666666664,18.6046511627907
26,ace,RF,4,1,98.3974358974359,0.0,0.0,99.91863303498779,0.0,0.0
27,ace,LR,4,1,98.63782051282051,58.333333333333336,36.84210526315789,99.59316517493897,39.77272727272727,38.251366120218584
28,ace,SVM,4,2,98.63782051282051,60.0,16.666666666666664,99.83739837398375,19.480519480519483,17.964071856287426
29,ace,DT,4,2,95.99358974358975,13.636363636363635,33.33333333333333,96.91056910569105,25.862068965517242,29.126213592233007
30,ace,RF,4,2,98.63782051282051,100.0,5.555555555555555,100.0,6.849315068493151,6.134969325153375
31,ace,LR,4,2,98.3974358974359,45.0,50.0,99.10569105691057,48.913043478260875,49.45054945054945
32,ace,SVM,5,1,98.95833333333334,85.71428571428571,33.33333333333333,99.91869918699187,37.974683544303794,35.50295857988166
33,ace,DT,5,1,97.27564102564102,16.666666666666664,22.22222222222222,98.3739837398374,20.833333333333332,21.505376344086017
34,ace,RF,5,1,98.5576923076923,50.0,5.555555555555555,99.91869918699187,6.756756756756757,6.097560975609757
35,ace,LR,5,1,98.71794871794873,57.14285714285714,44.44444444444444,99.51219512195122,46.511627906976734,45.454545454545446
36,ace,SVM,5,2,98.63782051282051,62.5,26.31578947368421,99.75589910496339,29.761904761904763,27.932960893854748
37,ace,DT,5,2,95.2724358974359,11.538461538461538,31.57894736842105,96.25711960943858,23.4375,26.905829596412556
38,ace,RF,5,2,98.4775641025641,50.0,5.263157894736842,99.91863303498779,6.41025641025641,5.780346820809249
39,ace,LR,5,2,98.3974358974359,47.05882352941176,42.10526315789473,99.26769731489016,43.01075268817204,42.553191489361694
40,ace,SVM,6,1,98.5576923076923,60.0,15.789473684210526,99.8372660699756,18.51851851851852,17.045454545454547
41,ace,DT,6,1,97.03525641025641,15.384615384615385,21.052631578947366,98.2099267697315,19.607843137254903,20.304568527918782
42,ace,RF,6,1,98.4775641025641,0.0,0.0,100.0,0.0,0.0
43,ace,LR,6,1,98.3974358974359,46.15384615384615,31.57894736842105,99.43043124491456,33.70786516853933,32.60869565217391
44,ace,SVM,6,2,98.5576923076923,50.0,16.666666666666664,99.7560975609756,19.23076923076923,17.857142857142854
45,ace,DT,6,2,96.39423076923077,13.513513513513514,27.77777777777778,97.39837398373984,22.93577981651376,25.125628140703522
46,ace,RF,6,2,98.5576923076923,50.0,5.555555555555555,99.91869918699187,6.756756756756757,6.097560975609757
47,ace,LR,6,2,98.4775641025641,46.666666666666664,38.88888888888889,99.34959349593497,40.229885057471265,39.548022598870055
